"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0G760","2020-04-02 00:00:00","53.000","332.000","0.900","18.300","0.940","1013.400","","0.000","-99.000","-99.000","-99.000","26.400","","18.300",""
"C0K450","2020-04-02 00:00:00","35.000","15.000","2.200","17.600","0.740","1012.100","","1.000","-99.000","-99.000","-99.000","25.100","","17.600",""
"C0D570","2020-04-02 00:00:00","15.000","0.000","0.000","16.700","0.800","1016.800","","8.000","-99.000","-99.000","-99.000","20.400","","16.200",""
"C0M710","2020-04-02 00:00:00","15.000","13.000","2.000","18.000","0.730","1015.500","","0.000","-99.000","-99.000","-99.000","24.100","","18.000",""
"C0V490","2020-04-02 00:00:00","20.000","353.000","2.700","22.100","0.720","1014.400","","0.000","-99.000","-99.000","-99.000","27.000","","22.100",""
"C0E870","2020-04-02 00:00:00","34.000","56.000","1.700","17.000","0.740","1016.100","","4.500","-99.000","-99.000","-99.000","19.700","","16.600",""
"C0M800","2020-04-02 00:00:00","440.000","0.000","0.200","21.000","0.870","967.000","","0.000","-99.000","-99.000","-99.000","29.800","","21.000",""
"C0A570","2020-04-02 00:00:00","360.000","0.000","0.000","13.700","0.990","979.300","","3.500","-99.000","-99.000","-99.000","18.500","","13.000",""
"C0S790","2020-04-02 00:00:00","236.000","352.000","0.600","17.200","0.980","994.000","","11.500","-99.000","-99.000","-99.000","26.500","","17.000",""
"C0D590","2020-04-02 00:00:00","143.000","55.000","3.300","15.800","0.780","1002.500","","12.000","-99.000","-99.000","-99.000","19.100","","15.200",""
"C0U990","2020-04-02 00:00:00","31.000","254.000","0.600","16.600","0.850","1018.500","","0.000","-99.000","-99.000","-99.000","22.500","","16.400",""
"C0M700","2020-04-02 00:00:00","150.000","0.000","0.000","18.200","0.830","1000.200","","0.500","-99.000","-99.000","-99.000","26.300","","18.000",""
"C0A970","2020-04-02 00:00:00","96.000","335.000","0.900","16.000","0.990","1010.300","","0.500","-99.000","-99.000","-99.000","21.000","","15.700",""
"CM0110","2020-04-02 00:00:00","7.000","45.000","4.000","17.600","0.690","1016.800","","-99.000","-99.000","-99.000","-99.000","22.600","","17.600",""
"C0S940","2020-04-02 00:00:00","150.000","14.000","1.000","17.700","0.960","1002.400","","1.500","-99.000","-99.000","-99.000","23.200","","17.200",""
"C0X250","2020-04-02 00:00:00","33.000","27.000","2.500","18.300","0.750","1012.900","","0.000","-99.000","-99.000","-99.000","26.300","","18.300",""
"C0K520","2020-04-02 00:00:00","10.000","21.000","2.000","17.800","0.760","1015.000","","3.000","-99.000","-99.000","-99.000","24.200","","17.800",""
"C0Z200","2020-04-02 00:00:00","153.000","229.000","1.200","16.600","0.990","1004.000","","5.500","-99.000","-99.000","-99.000","21.200","","16.500",""
"C0V740","2020-04-02 00:00:00","60.000","289.000","1.300","21.400","0.760","1010.500","","0.000","-99.000","-99.000","-99.000","29.900","","21.400",""
"C0V790","2020-04-02 00:00:00","410.000","254.000","1.300","21.300","0.830","969.000","","0.000","-99.000","-99.000","-99.000","29.500","","21.300",""
"C0G860","2020-04-02 00:00:00","45.000","4.000","1.600","19.100","0.720","1010.700","","0.000","-99.000","-99.000","-99.000","26.700","","19.100",""
"C0Z250","2020-04-02 00:00:00","1124.000","0.000","0.000","12.200","0.990","894.500","","14.000","-99.000","-99.000","-99.000","17.400","","12.200",""
"C0K440","2020-04-02 00:00:00","35.000","346.000","3.900","17.100","0.810","1013.100","","0.000","-99.000","-99.000","-99.000","23.800","","17.100",""
"C0T900","2020-04-02 00:00:00","160.000","0.000","0.000","16.200","0.900","1000.600","","1.000","-99.000","-99.000","-99.000","21.000","","16.100",""
"C0F9V0","2020-04-02 00:00:00","525.000","79.000","1.300","16.800","0.940","957.300","","0.500","-99.000","-99.000","-99.000","23.900","","15.600",""
"C0UA20","2020-04-02 00:00:00","2619.000","207.000","4.400","9.100","0.960","-99.000","","0.500","-99.000","-99.000","-99.000","16.100","","7.800",""
"C0R320","2020-04-02 00:00:00","7.000","66.000","11.500","21.500","0.790","1015.500","","0.000","-99.000","-99.000","-99.000","30.200","","21.500",""
"C0S980","2020-04-02 00:00:00","901.000","330.000","1.800","14.400","1.000","917.800","","19.000","-99.000","-99.000","-99.000","21.400","","14.300",""
"C0X110","2020-04-02 00:00:00","20.000","56.000","1.900","20.400","0.680","1014.500","","0.000","-99.000","-99.000","-99.000","27.300","","20.300",""
"C0V310","2020-04-02 00:00:00","46.000","180.000","0.800","23.400","0.630","1010.100","","0.000","-99.000","-99.000","-99.000","29.800","","23.300",""
"C0G620","2020-04-02 00:00:00","110.000","333.000","1.000","17.600","0.810","1003.700","","0.000","-99.000","-99.000","-99.000","28.000","","17.600",""
"C0AD50","2020-04-02 00:00:00","84.000","81.000","6.700","16.500","0.970","1009.700","","11.000","13.700","97.000","","19.700","","15.500",""
"C0A9A0","2020-04-02 00:00:00","24.000","104.000","2.800","17.200","0.870","1017.500","","2.000","-99.000","-99.000","-99.000","20.800","","16.700",""
"C0O830","2020-04-02 00:00:00","127.000","356.000","0.300","20.000","0.990","1002.300","","0.000","-99.000","-99.000","-99.000","30.700","","20.000",""
"C0S760","2020-04-02 00:00:00","1621.000","0.000","0.100","10.400","1.000","842.500","","0.000","-99.000","-99.000","-99.000","19.400","","10.400",""
"C0X160","2020-04-02 00:00:00","26.000","33.000","2.100","20.000","0.750","1013.200","","0.000","-99.000","-99.000","-99.000","28.000","","19.900",""
"C0C490","2020-04-02 00:00:00","157.000","68.000","2.300","16.200","0.770","1000.300","","14.000","-99.000","-99.000","-99.000","19.100","","15.400",""
"C0F970","2020-04-02 00:00:00","145.000","307.000","1.900","18.200","0.740","999.200","","0.000","-99.000","-99.000","-99.000","24.800","","18.200",""
"C0R440","2020-04-02 00:00:00","1654.000","138.000","2.200","11.700","1.000","837.100","","0.500","-99.000","-99.000","-99.000","18.700","","11.500",""
"C0M690","2020-04-02 00:00:00","33.000","25.000","1.900","17.900","0.800","1012.100","","0.000","-99.000","-99.000","-99.000","26.000","","17.800",""
"C0V690","2020-04-02 00:00:00","30.000","39.000","2.000","22.200","0.770","1013.500","","0.000","-99.000","-99.000","-99.000","28.300","","22.200",""
"C0Z210","2020-04-02 00:00:00","126.000","6.000","1.300","16.400","0.990","1007.500","","1.500","-99.000","-99.000","-99.000","21.900","","16.400",""
"C0U770","2020-04-02 00:00:00","5.000","314.000","2.800","17.900","0.810","1020.400","","0.000","-99.000","-99.000","-99.000","23.000","","17.700",""
